PPG,Serial_No,noise_ppg
-0.348,1,-0.355485041
-0.348,2,-0.39727619
-0.348,3,-0.392657723
-0.348,4,-0.389124133
-0.36,5,-0.370170993
-0.36,6,-0.345169418
-0.36,7,-0.395710437
-0.36,8,-0.328430835
-0.368,9,-0.381534941
-0.368,10,-0.35155401
-0.368,11,-0.428138894
-0.368,12,-0.36426494
-0.381,13,-0.360745075
-0.381,14,-0.389341491
-0.381,15,-0.375860796
-0.381,16,-0.363411152
-0.393,17,-0.407784754
-0.393,18,-0.350620506
-0.393,19,-0.447686063
-0.393,20,-0.376990502
-0.405,21,-0.441593522
-0.405,22,-0.416049686
-0.405,23,-0.422871872
-0.405,24,-0.382503258
-0.417,25,-0.45874185
-0.417,26,-0.41754657
-0.417,27,-0.36696963
-0.417,28,-0.434687239
-0.429,29,-0.443717718
-0.429,30,-0.411810256
-0.429,31,-0.469615061
-0.429,32,-0.433977722
-0.438,33,-0.400369012
-0.438,34,-0.41752595
-0.438,35,-0.431182076
-0.438,36,-0.441666567
-0.45,37,-0.463479812
-0.45,38,-0.391364139
-0.45,39,-0.486861035
-0.45,40,-0.397224216
-0.454,41,-0.397245213
-0.454,42,-0.396708204
-0.454,43,-0.455522769
-0.454,44,-0.475206713
-0.466,45,-0.438628785
-0.466,46,-0.50392515
-0.466,47,-0.503334924
-0.466,48,-0.381523107
-0.473,49,-0.411192468
-0.473,50,-0.531402127
-0.473,51,-0.453156328
-0.473,52,-0.448426862
-0.486,53,-0.522540975
-0.486,54,-0.445227199
-0.486,55,-0.440508765
-0.486,56,-0.537926934
-0.486,57,-0.537903871
-0.486,58,-0.453272277
-0.486,59,-0.447380815
-0.486,60,-0.511797218
-0.49,61,-0.457441344
-0.49,62,-0.505820512
-0.49,63,-0.476019253
-0.49,64,-0.495613138
-0.494,65,-0.510694494
-0.494,66,-0.510338278
-0.494,67,-0.480456994
-0.494,68,-0.443347547
-0.486,69,-0.502142424
-0.486,70,-0.466307823
-0.486,71,-0.528117832
-0.486,72,-0.454125494
-0.477,73,-0.464639043
-0.477,74,-0.456006837
-0.477,75,-0.453053915
-0.477,76,-0.471633603
-0.462,77,-0.495630042
-0.462,78,-0.432703208
-0.462,79,-0.443406357
-0.462,80,-0.436440417
-0.433,81,-0.423838776
-0.433,82,-0.411091959
-0.433,83,-0.460260574
-0.433,84,-0.43282652
-0.393,85,-0.422659079
-0.393,86,-0.338956417
-0.393,87,-0.430521311
-0.393,88,-0.391132024
-0.344,89,-0.329707739
-0.344,90,-0.373413816
-0.344,91,-0.397732033
-0.344,92,-0.384761689
-0.287,93,-0.266493145
-0.287,94,-0.26616604
-0.287,95,-0.295050384
-0.287,96,-0.31246241
-0.228,97,-0.211889854
